model,accuracy,precision,recall,f1_score,roc_auc
LogisticRegression,0.7012987012987013,0.5869565217391305,0.5,0.54,0.8155555555555556
RandomForest,0.7272727272727273,0.62,0.5740740740740741,0.5961538461538461,0.8250925925925926
